- - -
 Test : 2022-12-02 10:54:40.088308
1 11 0.012964299999999929 VALID
2 11 0.031425000000000036 VALID
3 12 0.0672953999999999 VALID
4 12 0.11612560000000016 VALID
5 13 0.4320062 VALID
6 14 0.6096801000000003 VALID
7 15 0.8676704000000006 VALID
8 16 10.330097599999998 VALID
9 17 2.8314525999999987 VALID
10 18 300.01604130000004 VALID
11 19 300.01600219999995 VALID
12 20 300.0197379 VALID
13 21 300.01139290000015 VALID
14 22 300.03135569999995 VALID
15 23 300.00946729999987 VALID
16 24 300.01591280000025 VALID
17 25 300.01609359999975 VALID
18 26 299.9995737000004 VALID
19 27 300.02913000000035 VALID
20 28 300.0361310000003 VALID
21 29 300.0293013999999 VALID
22 30 300.0300539 VALID
23 31 300.03030379999973 VALID
24 32 300.0274042000001 VALID
25 33 300.03694429999996 VALID
26 34 300.0335675999995 VALID
27 35 300.01837760000035 VALID
28 36 300.0350561000005 VALID
29 37 300.05917490000047 VALID
30 38 300.0423214000002 VALID
31 39 300.0242566000006 VALID
32 40 300.0331573000003 VALID
33 41 300.03296950000004 VALID
34 40 128.3026958999999 VALID
35 41 300.0413974000003 VALID
36 40 27.38387309999962 VALID
37 62 300.03472090000014 VALID
38 61 300.05117679999967 VALID
39 61 300.0954977000001 VALID
40 99 300.2321361000013 VALID
